x,y,elev,ndvi,bio,sm,tem,pre
84.6808,31.5649,4943,0.1962,575.553,2530,-3.9333333333333336,1143
81.8968,31.5918,4989,0.129,590.861,2223,-3.3166666666666664,1102
79.9575,31.5935,4670,0.1128,585.537,2152,-1.3333333333333337,2570
83.4185,31.6113,6351,-0.0346,-9999,2752,-15.066666666666666,957
85.3611,31.6126,5545,0.1347,-9999,2084,-8.05,1157
89.6656,31.6429,4556,0.1678,1010.55,2353,1.05,4631
79.5101,31.6466,4120,0.0514,677.678,2055,2.308333333333333,4497
81.8936,31.6681,4879,0.1163,607.754,2196,-2.475,1012
84.6235,31.6832,4768,0.23,1192.52,2297,-1.1,1060
82.5089,31.6842,5022,0.1056,594.232,2312,-2.6,842
80.7887,31.6869,5802,0.1062,-9999,2020,-10.816666666666666,949
81.3156,31.6922,5149,0.1396,652.509,2019,-5.441666666666666,919
81.7457,31.6936,5031,0.115,599.689,2055,-3.4166666666666665,950
90.4336,31.6962,4651,0.3202,1163.61,2917,-0.4333333333333333,4527
90.0453,31.7006,4738,0.1671,994.236,2555,-1.0416666666666663,4505
79.512200000000007,31.7018,4071,0.0699,-9999,2258,1.4583333333333337,3984
79.6113,31.7048,4164,0.0635,640.552,2141,1.2083333333333337,3688
90.3128,31.71,4671,0.2779,1008.79,2734,-0.31666666666666665,4441
88.928,31.7103,4726,0.1951,917.458,2465,1.7,4242
82.165,31.7165,5118,0.1213,648.359,2278,-3.725,806
86.5118,31.7455,4913,0.1744,-9999,2184,-2.075,1835
82.9827,31.7712,4838,0.1272,548.416,2247,-2.3583333333333334,804
82.3762,31.7825,4807,0.1236,629.343,2241,-2.2333333333333334,810
89.924,31.7834,4592,0.1305,975.692,2251,0.6,4490
83.8303,31.7939,4946,0.1554,528.704,2472,-2.591666666666667,901
86.4145,31.796,4655,0.1869,767.775,2610,0.625,1768
79.0022,31.7985,4591,0.2038,919.223,2163,-3.3916666666666666,3299
83.7023,31.8051,4674,0.1161,393.834,2169,-0.38333333333333336,904
81.7848,31.8076,4831,0.1217,573.08,2298,-2.033333333333333,801
82.7435,31.8082,5298,0.1951,758.704,2046,-6.616666666666667,748
86.1386,31.8197,4773,0.1308,679.339,2276,-0.7416666666666667,1584
83.297,31.8528,4739,0.0904,397.873,2256,-1.2666666666666666,779
86.4884,31.8649,4671,0.1021,656.723,2296,0.7916666666666667,1785
79.0807,31.8668,5320,0.0774,-9999,2284,-7.383333333333333,2106
80.1958,31.8743,4398,0.0861,436.401,2296,-0.375,1639
88.1275,31.8872,4949,0.1646,1039.91,2273,-0.5333333333333333,3378
90.4703,31.9003,4681,0.172,1004.19,2461,-0.6666666666666667,4522
87.0798,31.9046,4498,0.0938,653.427,2185,1.9,2456
82.0778,31.9109,4617,0.1213,565.461,2209,-0.4333333333333333,738
82.1,31.9323,4702,0.1039,599.597,1998,-0.7666666666666667,673
79.5039,31.9845,4250,0.0826,-9999,2135,0.21666666666666665,2488
79.7391,31.9986,4673,0.1992,635.58,2267,-2.808333333333333,1402
78.7585,32.0028,6223,-0.0722,-9999,1704,-14.758333333333336,1855
81.864,32.0325,4682,0.1081,580.843,2236,-1.2666666666666666,574
85.7726,32.034,5253,0.1479,613.41,2221,-4.833333333333334,1238
82.5357,32.0478,5398,0.1694,661.932,2363,-6.5166666666666675,574
90.0439,32.0862,4768,0.1764,956.03,2449,-0.9666666666666666,4349
86.1211,32.0877,4678,0.1054,602.103,2130,0.5333333333333333,1464
80.0766,32.1526,4275,0.0695,613.918,2095,1.0583333333333331,1040
86.4287,32.1626,4542,0.0843,642.227,2067,1.3416666666666666,1707
80.3808,32.1889,4958,0.1289,644.166,2298,-4.766666666666667,512
78.9531,32.2086,5458,0.0242,-9999,2052,-9.675,1391
84.6776,32.2108,4398,-0.1429,420.156,2832,1.2333333333333334,966
91.2078,32.2574,4725,0.2967,875.433,2594,-2.125,4611
86.7922,32.2951,4960,0.131,694.593,2233,-1.4666666666666666,1826
78.6191,32.3352,4494,0.0768,876.675,2158,-5.075,2030
84.0875,32.3352,4433,0.1121,561.365,1958,1.0583333333333331,747
79.1466,32.3423,5271,0.1797,649.6,2175,-7.925,1026
90.2548,32.3577,4762,0.2116,-9999,2354,-1.3416666666666666,4486
79.4694,32.3579,5145,0.0974,654.905,2220,-6.675,752
89.7371,32.3713,4795,0.1335,917.17,2235,-1.2583333333333333,3948
86.4202,32.3742,4764,0.1245,594.856,2095,-0.05,1586
90.5304,32.4358,4912,0.2798,804.693,2503,-3.5,4599
91.312,32.4469,4923,0.2506,964.458,2585,-4.1,4752
89.2158,32.4469,4681,0.1204,916.474,2483,-1.0916666666666666,4066
84.2311,32.4697,4545,0.1038,530.748,2020,0.2833333333333333,741
86.1414,32.4734,5008,0.1317,606.711,2099,-2.35,1323
89.2655,32.4837,4720,0.118,906.648,2210,-0.4416666666666667,4042
80.6396,32.4853,5203,0.1959,656.687,2342,-6.4,281
90.8681,32.513,4785,0.1935,834.397,2623,-2.416666666666667,4602
89.4816,32.5131,4928,0.1691,829.583,2557,-2.4916666666666667,4059
87.8216,32.5205,5365,0.1367,821.131,2303,-7.175,2713
82.3552,32.5682,4347,-0.1202,-9999,2783,1.0416666666666663,360
88.169,32.5835,5245,0.2374,791.175,2502,-5.008333333333334,3060
90.4453,32.6099,5267,0.1713,719.543,2591,-6.05,4582
87.2436,32.6213,5111,0.1202,714.212,2386,-4.333333333333334,2178
85.6647,32.6562,5190,0.1532,659.95,2245,-4.991666666666666,1118
85.5584,32.6582,4992,0.1454,589.732,2336,-3.2083333333333335,1025
91.241,32.672,5087,0.1897,859.016,2547,-5.008333333333334,4807
89.3135,32.6757,4954,0.1811,864.634,2388,-3.875,3957
87.8622,32.6823,5038,0.1694,762.414,2204,-3.625,2759
85.6926,32.7023,5066,0.1299,567.468,2098,-4.541666666666666,1079
82.1244,32.713,4626,0.1097,568.358,1884,-1.025,246
83.3268,32.7131,4750,0.1292,545.747,2165,-1.4083333333333334,455
90.6648,32.7209,4921,0.2284,774.753,2492,-3.625,4581
86.797,32.7212,5162,0.1628,690.03,2401,-4.008333333333334,1703
85.943,32.7335,5204,0.143,630.064,2416,-5.558333333333334,1184
81.4049,32.7606,4492,0.0719,605.105,2159,-0.425,182
80.0798,32.8013,4920,0.1416,560.862,2132,-5.575,218
82.1342,32.8229,4521,0.0834,489.383,1981,-0.24166666666666664,218
84.0085,32.8246,4616,0.0892,508.502,1761,-0.675,601
81.3812,32.8382,4929,0.141,586.38,2297,-4.016666666666667,185
88.885,32.8437,4906,0.1477,704.293,2065,-3.3,3329
81.1031,32.8543,5569,0.0884,-9999,2331,-11.375,218
87.622,32.8568,5162,0.1538,740.163,2234,-5.325,2394
86.1506,32.8875,4917,0.1472,556.014,2030,-2.45,1265
87.837,32.8909,4957,0.1322,638.984,1984,-2.908333333333333,2578
88.3755,32.8931,4911,0.1564,722.819,2124,-3.2083333333333335,3072
91.0963,32.9142,5229,0.2074,-9999,2412,-6.675,4618
85.8892,32.9214,5058,0.1249,585.115,2143,-3.9083333333333337,1130
84.4581,32.9269,4734,0.1134,506.819,1764,-2.2416666666666667,687
90.1698,32.9445,5248,0.1129,683.937,2381,-7.166666666666667,4360
82.2084,32.9515,4938,0.0999,571.603,1956,-3.2666666666666666,227
83.0069,32.972,4661,0.1392,675.774,2050,-0.95,399
79.9784,32.9944,5865,-0.0308,-9999,2080,-12.4,279
84.5974,33.0254,4826,0.1245,520.674,1825,-2.5,689
86.5147,33.03,5077,0.1506,577.032,2043,-4.325,1449
88.4526,33.0348,5128,0.1803,681.988,1724,-3.9083333333333337,3078
81.6295,33.0452,4753,0.099,693.127,2137,-2.783333333333333,177
82.1923,33.0496,4567,0.1396,642.846,1883,-1.8833333333333333,219
86.5394,33.0498,5430,0.1888,560.938,2481,-6.816666666666667,1475
87.661,33.0738,4927,0.1319,593.308,2069,-2.8,2332
89.0714,33.0972,4850,0.1581,-9999,2390,-3.25,3512
84.8528,33.1058,4937,0.1131,512.258,1710,-3.0166666666666666,753
80.2706,33.1128,4351,0.0801,-9999,2100,-0.20833333333333337,88
86.0377,33.1132,5428,0.2314,830.192,2533,-9.05,1177
85.0636,33.1316,4813,0.1126,530.805,1707,-2.408333333333333,784
87.5317,33.1439,4855,0.1201,566.031,1944,-2.8833333333333333,2159
89.1675,33.1686,4923,0.1495,592.775,2244,-3.4583333333333335,3439
85.8102,33.1954,5259,0.1726,617.011,2450,-6.958333333333333,1078
90.7763,33.2165,5124,0.1392,784.673,2442,-6.141666666666667,3942
85.1818,33.2188,5306,0.1334,592.363,1933,-6.633333333333333,873
85.7586,33.2232,5882,0.1698,-9999,1831,-11.108333333333333,1140
89.9756,33.2546,5103,0.1575,626.59,2422,-5.525,3958
86.637200000000007,33.271,4961,0.1042,533.233,1457,-3.8833333333333337,1490
82.7376,33.2741,4675,0.0584,599.757,2057,-1.3583333333333334,278
80.8317,33.2741,4582,0.1533,611.168,2234,-0.9833333333333334,127
83.3045,33.2844,5057,0.1106,582.611,2090,-5.141666666666667,435
85.6342,33.2863,5112,0.1301,590.443,2230,-5.208333333333334,965
84.9476,33.2895,5210,0.1177,611.39,1858,-5.216666666666667,813
89.3602,33.3103,5012,0.1114,542.698,2095,-4.358333333333333,3482
88.2865,33.3165,5300,0.1957,779.878,2249,-6.958333333333333,2750
83.9136,33.3169,4555,0.1077,534.406,1993,-0.75,519
82.7091,33.3331,4735,0.0632,518.078,2017,-2.0166666666666666,275
90.7245,33.336,5292,0.1083,-9999,2274,-7.041666666666667,3886
85.9698,33.3543,5115,0.1348,637.114,1984,-5.433333333333334,1104
87.3624,33.3804,4968,0.1191,550.141,1490,-3.6583333333333337,1946
87.707,33.3866,5359,0.1499,601.686,1752,-7.558333333333333,2258
91.0799,33.4105,5620,-0.0518,-9999,2775,-14.858333333333334,4515
82.025,33.4247,4883,0.1372,555.248,2153,-3.7,184
90.0584,33.4399,4935,-0.0413,-9999,2709,-4.45,3742
88.3797,33.4448,5159,0.171,635.599,2503,-6.191666666666666,2736
82.8927,33.445,5037,0.0936,609.69,1938,-3.9833333333333334,345
82.6973,33.4451,5112,0.0533,-9999,2184,-4.1,320
83.1,33.4477,5389,0.0977,-9999,1955,-6.9,433
91.052,33.452,5495,-0.0573,-9999,2336,-12.675,4482
81.7316,33.4598,5286,0.1056,567.187,2041,-7.866666666666667,199
87.0423,33.4648,4905,0.1202,530.846,1733,-2.666666666666667,1674
85.2335,33.4837,5172,0.1911,639.862,1977,-7.041666666666667,874
90.8913,33.5054,5757,-0.0319,-9999,2633,-16.3,4343
79.465,33.519,5258,0.117,-9999,1993,-5.75,188
84.6787,33.5454,4614,0.0572,516.472,2084,-1.5583333333333331,667
78.9992,33.5568,4413,0.1194,-9999,1661,-1.2833333333333334,340
86.4126,33.5616,4950,0.1144,574.929,1743,-4.183333333333334,1281
85.4857,33.5635,5483,0.1983,738.361,1995,-9.033333333333331,1006
79.419,33.5744,5125,0.097,-9999,1902,-4.275,183
82.0383,33.5845,5704,0.0266,-9999,1949,-11.383333333333333,293
80.2547,33.5916,4891,0.0955,693.486,1941,-3.183333333333333,51
88.3668,33.6047,5196,0.0988,522.093,1975,-6.808333333333333,2609
86.274,33.6128,5013,0.11,552.092,1547,-4.075,1205
82.0828,33.6158,5053,0.1173,642.314,2051,-5.858333333333333,207
78.9414,33.62,5544,0.1056,688.534,2350,-7.441666666666667,358
90.263,33.6398,4967,0.2111,658.685,2565,-4.933333333333334,3410
87.782,33.6788,5016,0.102,528.428,1949,-4.541666666666666,2127
82.269,33.7064,5179,0.0642,575.773,2134,-6.066666666666666,250
79.1108,33.7264,4363,0.0096,546.932,2339,-2.2416666666666667,211
81.0936,33.7268,5425,0.0329,-9999,2415,-9.191666666666666,152
82.8228,33.7574,5201,0.0854,552.792,1853,-5.925,362
84.7645,33.7575,4987,0.1153,557.277,1737,-3.8166666666666664,701
85.3176,33.7595,4876,0.0872,524.954,1818,-3.3916666666666666,790
87.6323,33.7632,5409,0.1647,680.814,1937,-8.225,2082
91.2269,33.764,5021,0.1496,703.523,2318,-5.683333333333334,4029
