x,y,elev,slope,aspect,ndvi,bio,sm,tem,pre,lst
85.6194,30.4129,4919,4.15802,40.5372,0.1431,668.044,2668,-0.4083333333333333,1780,0
89.7343,30.419,4978,0.286655,102.995,0.4525,939.817,2784,-1.6166666666666667,4036,29.05
85.6262,30.43,4855,0.577397,46.0051,0.119,691.639,2601,-0.25833333333333336,1781,0
87.5553,30.4346,5445,5.5761,328.508,0.2135,647.764,2758,-4.925,2273,28.278
82.946,30.4423,5063,3.35769,331.633,0.1325,631.61,2311,-4.65,2299,0
82.2149,30.4824,5574,10.4871,255.091,0.1491,515.916,2328,-7.75,2652,27.836000000000002
86.5234,30.4916,5883,9.47016,41.6585,-0.0409,683.137,2464,-13.208333333333334,1449,0
81.2625,30.4954,5436,12.2903,346.123,0.0876,609.01,2439,-7.416666666666667,3972,0
87.966,30.4982,5277,2.00504,78.0481,0.2544,717.847,2705,-4.291666666666666,2719,0
81.7059,30.5038,4836,1.20235,282.381,0.1772,605.363,2208,-2.841666666666667,3707,0
89.7156,30.5187,5326,2.57762,149.091,0.4471,910.719,2887,-3.8166666666666664,3912,28.27
83.2835,30.5319,5904,6.67552,258.042,-0.0194,512.562,2229,-11.3,1779,0
90.0749,30.551,4965,1.45496,276.216,0.3888,985.026,2733,-1.05,4286,19.387999999999998
82.8894,30.5553,5483,2.77551,232.332,0.2533,760.323,2273,-8.933333333333334,2041,0
88.8688,30.5776,4832,0.630879,2.60256,0.2148,797.476,2739,0.775,3839,0
85.535,30.581,4773,0.0997546,291.038,0.2,650.06,2504,0.325,1725,0
85.6183,30.5832,4827,5.22175,251.664,0.1113,609.42,2371,0.225,1733,0
85.9225,30.591,4987,0.831471,169.077,0.1034,-9999,2385,-0.5666666666666667,1760,0
90.9024,30.5953,5335,2.99138,341.738,0.1606,-9999,2544,-7.291666666666667,4382,27.374000000000002
87.313,30.5962,5064,4.87917,26.1523,0.2874,755.731,2775,-1.325,2401,0
85.8115,30.6074,5039,9.63291,331.831,0.2,715.35,2451,-1.975,1612,0
87.0656,30.6337,4807,0.853865,247.306,0.262,662.092,2538,0.8,2443,18.952
90.0967,30.6795,4847,4.09473,10.5643,0.4144,904.49,2683,-1.0916666666666666,4419,29.032
86.5429,30.6928,5168,9.13078,126.843,0.2178,920.51,2631,-2.625,1873,0
86.6617,30.7109,4605,0.294945,209.055,0.0957,671.84,2205,1.5416666666666665,2304,30.708
81.6919,30.7166,4777,6.60848,36.4001,0.2064,573.228,2357,-2.3,3139,0
85.5244,30.7226,5460,4.38475,39.8414,0.2191,679.564,2523,-5.241666666666666,1457,0
91.0073,30.7236,4800,1.16744,358.946,0.4997,997.027,2854,-2.1416666666666666,4477,29.618000000000002
82.3141,30.7325,5662,4.83015,315.479,0.0851,783.496,2343,-9.591666666666667,2118,0
82.4964,30.7381,5668,6.37102,234.477,0.0419,514.309,2486,-8.583333333333332,1994,0
88.6843,30.7437,4948,3.04597,112.951,0.2796,740.887,2643,0.55,3812,0
87.4894,30.7471,4980,1.16989,236.991,0.2646,788.29,2533,-0.25,2709,0
82.5106,30.757,5688,7.14713,84.7952,0.0697,576.202,2078,-7.658333333333333,1998,0
85.8523,30.7581,4942,8.45623,277.926,0.1678,695.699,2347,0.4416666666666667,1751,0
88.0268,30.7744,4860,1.55312,242.844,0.2905,710.869,2709,0.5583333333333333,3336,28.962
80.8262,30.7811,4695,2.25226,266.355,0.059,-9999,2328,-2.5166666666666666,3633,2.6100000000000003
84.7811,30.7921,4640,0.0101286,45,0.1491,-9999,2652,0.4166666666666667,1597,27.204
84.9195,30.7959,4657,1.3656,148.727,0.0073,-9999,2574,0.5583333333333333,1570,0
80.2162,30.8015,5237,10.4622,303.066,0.1067,622.247,2285,-6.8583333333333325,4047,27.436
87.4692,30.8291,5101,3.04226,253.185,0.2014,732.342,2582,-1.6666666666666667,2586,28.822000000000003
85.3759,30.8436,4949,8.12114,203.106,0.1432,602.113,2753,0.15,1587,0
87.1568,30.869,4720,0.182595,11.3099,0.1338,618.32,2380,1.2416666666666667,2619,0
91.2196,30.9182,4857,2.89034,336.354,0.4111,1155.06,2787,-3.1416666666666666,4534,12.422
83.3277,30.9264,5016,0.727879,336.209,0.1381,566.604,2167,-3.3083333333333336,1518,29.508
91.0348,30.9297,4964,4.82599,222.12,0.2563,857.288,2718,-1.825,4554,28.724
87.9682,30.9404,4824,0.481282,233.471,0.2393,1071.11,2481,1.025,3362,29.244
89.045,30.9621,5002,7.1098,357.645,0.2172,935.241,2536,0.4416666666666667,4226,0
80.2045,30.9715,4516,1.51923,133.854,0.0915,648.886,2561,-1.1916666666666667,4740,29.598000000000003
85.3534,30.9765,4616,0.154937,123.69,-0.0414,570.959,2913,1.2583333333333333,1575,0
87.7184,30.9785,4977,4.27822,323.973,0.1905,706.868,2517,-0.1,3029,8.914
