tem,pre,sm,elev,npp,X,Y
-6.874011516571045,178,10.800000190734863,5021,25.299999237060547,86.46284609650394,34.63005420280755
-3.8098883628845215,148,1.2000000476837158,4907,33.70000076293945,86.10351998285614,33.82157044709998
-6.600010871887207,75,1.2000000476837158,5224,21.799999237060547,83.31874260208562,34.63005420280755
-5.5139546394348145,166,4.800000190734863,5069,30.600000381469727,86.46284609650394,34.809717259631455
-8.064826965332031,226,63.599998474121094,4910,33.20000076293945,91.67307474439717,36.157190185810734
-10.043292999267578,382,1228.300048828125,5354,27.600000381469727,89.15779194886251,33.73173891868803
-8.364945411682129,298,127.0999984741211,5092,24.200000762939453,91.22391710233741,34.899548788043404
-5.3632402420043945,206,13.800000190734863,4879,35.79999923706055,88.07981360791908,35.07921184486731
-7.388448715209961,342,321.6000061035156,5425,23.299999237060547,82.06110120431829,30.587635424269703
-5.318212032318115,214,48.29999923706055,5315,29.100000381469727,82.33059578955415,30.94696153791751
-7.67539644241333,79,5.599999904632568,5590,32.099998474121094,83.13907954526172,32.11477140727289
-2.9612231254577637,84,3.5999999046325684,5011,41.79999923706055,82.15093273273024,32.11477140727289
-6.211395740509033,149,23,5421,29.100000381469727,82.06110120431829,31.396119179977273
-7.080630302429199,144,6,5173,38.099998474121094,85.92385692603223,34.809717259631455
-4.868652820587158,196,6.699999809265137,5006,32.70000076293945,86.91200373856371,34.091065032335834
-6.406935691833496,200,8,4713,20.600000381469727,89.42728653409837,36.33685324263464
-5.867524147033691,247,27.600000381469727,5003,40.099998474121094,88.6188027783908,34.360559617571695
-3.841202735900879,91,1.2000000476837158,5132,42.900001525878906,84.57638399985295,33.192749748216315
-1.7008436918258667,125,1.2000000476837158,4681,29.399999618530273,85.74419386920833,33.641907390276074
-7.920388221740723,264,55.400001525878906,5011,24.600000381469727,90.77475946027765,35.708032543750974
-6.902477264404297,239,49.29999923706055,4849,34.599998474121094,89.78661264774618,36.157190185810734
-7.090141773223877,335,89.19999694824219,5141,30.600000381469727,89.96627570457008,34.27072808915974
-5.282382965087891,205,10.800000190734863,4957,21.799999237060547,87.18149832379956,34.5402226743956
-4.615085124969482,70,2.4000000953674316,5006,25.899999618530273,83.22891107367367,34.001233503923885
-2.328784227371216,71,1.2000000476837158,4797,39.099998474121094,84.03739482938124,32.92325516298046
-8.538623809814453,145,9.600000381469727,5237,18.600000381469727,85.74419386920833,34.5402226743956
-4.836567401885986,180,13.899999618530273,4830,31.5,87.00183526697566,34.98938031645536
-5.805421829223633,232,144.5,5270,34,82.51025884637805,30.677466952681655
-8.019919395446777,133,8.399999618530273,5242,25.5,85.11537317032466,34.899548788043404
