libsizes,x_xmap_y_mean,x_xmap_y_sig,x_xmap_y_upper,x_xmap_y_lower,y_xmap_x_mean,y_xmap_x_sig,y_xmap_x_upper,y_xmap_x_lower,x,y
1500,0.4486262750320851,0,0.48633195392074513,0.40925288091138134,0.38760228490359233,0,0.4278328196700402,0.34583901154447527,elev,ndvi
1600,0.4621151674190532,0,0.49921729069044163,0.4233215586282863,0.40103463327983757,0,0.440738401509793,0.35976474026325467,elev,ndvi
100,0.12044268177985186,9.128772822108999e-7,0.1676967383789619,0.07263644569126772,0.14986204705625136,9.293135150301168e-10,0.19666877107271477,0.10237379943621727,elev,bio
200,0.1421242444086083,6.564081500570751e-9,0.18905653849485568,0.09454412528636535,0.16878066147998882,5.039746397983436e-12,0.21525663806037182,0.12154184829107205,elev,bio
300,0.15633861213059297,1.6712142780761496e-10,0.20303589844506353,0.10893178799040794,0.18231829484211406,8.171241461241152e-14,0.2285369591843528,0.13527963035528945,elev,bio
400,0.16361911578174515,2.2261081866759014e-11,0.21018866819660162,0.11630875233715704,0.2018765439703118,0,0.24769313183176678,0.1551590316571736,elev,bio
500,0.1766034228965561,4.849454171562684e-13,0.22293280808825577,0.129478059461595,0.2227278859798018,0,0.2680764357195351,0.17639451133645095,elev,bio
600,0.19126154713753446,4.440892098500626e-15,0.23730080033153347,0.14436503654135002,0.24337917819778737,0,0.2882242413074315,0.19746885281309168,elev,bio
700,0.207786402657371,0,0.2534744570582092,0.16117338479486792,0.2681798803035385,0,0.31236793043523664,0.22283381176565525,elev,bio
800,0.2177030701458846,0,0.26316811936280815,0.17127317744526954,0.2912616373785646,0,0.3347870408898819,0.24649600856243856,elev,bio
900,0.22549514691409037,0,0.27077853330170254,0.17921599814540265,0.3148455022024093,0,0.35764306136825086,0.27072819116614444,elev,bio
1000,0.23447907919787483,0,0.2795459962485702,0.18838122580502653,0.33959954171748696,0,0.38157811703937705,0.29622299793003537,elev,bio
1100,0.24370057728554764,0,0.2885374910821501,0.19779717157039342,0.36328080140952107,0,0.40442331870796133,0.32067091135036,elev,bio
1200,0.2511415817083977,0,0.29578714076188195,0.20540126012211374,0.38634536428617483,0,0.4266243509058516,0.34453686396226263,elev,bio
1300,0.25793436587175744,0,0.30240075267524835,0.2123477466659841,0.40954542101579544,0,0.44890694198797776,0.3685976614334533,elev,bio
1400,0.26419385065755985,0,0.30849134390264477,0.21875294813133858,0.429840995096091,0,0.4683598504030875,0.38969130617909314,elev,bio
1500,0.27007330932775453,0,0.3142088567602273,0.2247728453990701,0.4408167340942609,0,0.47886434468795414,0.4011162153239588,elev,bio
1600,0.27563168223750506,0,0.3196111853832282,0.23046716902516756,0.45069386474805045,0,0.4883080948655583,0.41140812641896546,elev,bio
100,0.08684674559681803,4.095139101689682e-4,0.1345115111892641,0.03878101676543426,0.04999594615038776,0.042173105338995764,0.0979878381688465,0.0017720574323168334,elev,sm
200,0.13180706384279978,7.586756334276856e-8,0.17889800432204042,0.08411359666896398,0.08438890241968415,5.958421069318653e-4,0.13207951068920984,0.036308513699243455,elev,sm
300,0.15427082047409965,2.91316748501913e-10,0.2010034763270194,0.10683755149098406,0.10790069752660163,1.1071157983710833e-5,0.15532059362824768,0.05998468745329018,elev,sm
400,0.17697231692229992,4.3298697960381105e-13,0.22329464758045733,0.12985245250509173,0.13066988799242063,9.826751368180453e-8,0.17777770005816865,0.0829645665492715,elev,sm
500,0.19570679684203993,8.881784197001252e-16,0.24165408717247036,0.14888388765370758,0.15560171195645875,2.0389490096306417e-10,0.20231164907860183,0.10818541538534837,elev,sm
600,0.21404740931135374,0,0.25959573472482006,0.16754887374793676,0.18384004582024252,5.040412531798211e-14,0.23002871127594898,0.1368250114367979,elev,sm
700,0.23594621074153022,0,0.280977063465776,0.189878727094312,0.2106930424125836,0,0.25631668346117126,0.16413268862676053,elev,sm
800,0.2624664696300927,0,0.3068109338914354,0.21698496350723098,0.23803394125933128,0,0.2830131292208783,0.19201004339018912,elev,sm
900,0.288043488227187,0,0.3316642339350719,0.24319372723752233,0.26434271492439493,0,0.30863614730702355,0.2189053255475964,elev,sm
1000,0.31399660702323046,0,0.3568212533621876,0.2698549888772152,0.2878874437461446,0,0.3315127881877869,0.24303362970478523,elev,sm
