H1,H0
0.621609743516869,0.1804008908685969
0.6244861652797736,0.18262806236080179
0.6271941597848357,0.1848552338530067
0.6300442647887037,0.1870824053452116
0.6328154195154597,0.1893095768374165
0.6354392003915967,0.1915367483296214
0.6378656055749435,0.1937639198218263
0.6402788523787727,0.1959910913140312
0.6426999942103152,0.1982182628062361
0.6451158726900484,0.200445434298441
0.6473396388288023,0.20267260579064592
0.6497160421699765,0.2048997772828508
0.6521819224918805,0.20712694877505572
0.654842546830672,0.2093541202672606
0.6572584253104089,0.21158129175946552
0.6595900901612151,0.21380846325167038
0.6618243830035824,0.21603563474387527
0.6641981546688541,0.2182628062360802
0.6663850773449549,0.22048997772828507
0.6690641234150756,0.22271714922049
0.6714747385430032,0.22494432071269488
0.6733800718973862,0.2271714922048998
0.6756064697120436,0.22939866369710468
0.6774039043543738,0.2316258351893096
0.6793829246340689,0.23385300668151449
0.6816566926149957,0.2360801781737194
0.6837515066344586,0.2383073496659243
0.685543677924979,0.2405345211581292
0.6876305969167278,0.2427616926503341
0.6896543556867893,0.244988864142539
0.691772854789389,0.2472160356347439
0.6939281973546418,0.2494432071269488
0.696136173437967,0.2516703786191537
0.697894132941738,0.25389755011135856
0.6996573557973172,0.2561247216035635
0.7017363797613583,0.2583518930957684
0.7035232877000741,0.2605790645879733
0.705560204849655,0.26280623608017817
0.707455011500426,0.2650334075723831
0.7093419231234835,0.267260579064588
0.7114841073092167,0.26948775055679286
0.713205223350335,0.2717149220489977
0.7148658108456658,0.27394209354120264
0.7170264167627249,0.27616926503340755
0.718863326543612,0.27839643652561247
0.721037090840191,0.2806236080178173
0.7229818993331353,0.28285077951002224
0.7245687999031526,0.28507795100222716
0.7264399214707896,0.287305122494432
0.7281794592432331,0.28953229398663693
0.7296847778602349,0.29175946547884185
0.7315953745664321,0.29398663697104677
0.7332480670340492,0.2962138084632516
0.7348612843631105,0.29844097995545654
0.7365534519692848,0.30066815144766146
0.7381219308079772,0.3028953229398664
0.7394982973056917,0.30512249443207123
0.7411773065323484,0.30734966592427615
0.7426852568252529,0.30957683741648107
0.7441379419241754,0.311804008908686
0.7455458885327341,0.31403118040089084
0.7470748922328717,0.31625835189309576
0.7485486307390321,0.3184855233853007
0.7504881758801678,0.3207126948775056
0.7520303379598237,0.32293986636971045
0.7533724926707843,0.32516703786191536
0.7548514945287494,0.3273942093541203
0.7562989162758658,0.3296213808463252
0.7580068739374637,0.33184855233853006
0.7595858794797729,0.33407572383073497
0.7610833030690627,0.3363028953229399
0.762522829788469,0.3385300668151448
0.7640307800813742,0.34075723830734966
0.7653255646260669,0.3429844097995546
0.7667782497249928,0.3452115812917595
0.7682440932034369,0.34743875278396436
0.7697309900891107,0.3496659242761692
