libsizes,x_xmap_y_mean,x_xmap_y_sig,x_xmap_y_upper,x_xmap_y_lower,y_xmap_x_mean,y_xmap_x_sig,y_xmap_x_upper,y_xmap_x_lower,x,y
1200,0.6007702996849754,0,0.6307238390210996,0.5690292174814593,0.5145204047171797,0,0.549122437161473,0.4781574198501205,elev,pre
1300,0.6368489753134625,0,0.664662651440661,0.6072726185451945,0.5391764386608313,0,0.5725171569511688,0.5040554778950717,elev,pre
1400,0.6725468224354412,0,0.6981306305125536,0.6452477203181171,0.5627419365169134,0,0.5948265014330492,0.5288672365576778,elev,pre
1500,0.70920667923184,0,0.7323845540780433,0.6843871126529776,0.5838080461615501,0,0.614727934868306,0.5510965529822637,elev,pre
1600,0.7393986222121804,0,0.7605072208263091,0.7167288956954957,0.6039885369861225,0,0.6337558613281817,0.5724349809779752,elev,pre
100,0.0822150031525763,8.23577289593036e-4,0.12992799000433974,0.034122138583785266,0.0734424384437771,0.002818881579164323,0.12124116451790125,0.025303903186355642,ndvi,bio
200,0.1166916352540585,1.978841649652452e-6,0.16399685152083965,0.06885095471768893,0.11573570753546146,2.401121160122699e-6,0.16305374862612623,0.0678864693006342,ndvi,bio
300,0.1475508320891126,1.6843766381668956e-9,0.19439565366073985,0.10003452679653164,0.1548546501554287,2.492028805534119e-10,0.20157736037713694,0.1074288050925269,ndvi,bio
400,0.16937856484389185,4.2301717684267715e-12,0.2158435400365007,0.12214820966393447,0.18437067182438402,4.263256414560601e-14,0.23054882580370428,0.13736393094176935,ndvi,bio
500,0.1888585781659751,9.992007221626409e-15,0.23494677352093696,0.14192309505314865,0.21378677496601814,0,0.25934099003202216,0.16728339610880416,ndvi,bio
600,0.20693014835389614,0,0.2526370275568377,0.1603017762122926,0.2597765313377322,0,0.30419358993068796,0.2142323898449864,ndvi,bio
700,0.2232705059259884,0,0.26860633431384257,0.17694770418952974,0.3083758442641901,0,0.3513781690976078,0.2640751134637497,ndvi,bio
800,0.24230812073552913,0,0.287180272010187,0.19637481000460127,0.354801343671651,0,0.3962491214374562,0.31191041110527024,ndvi,bio
900,0.26267603883015994,0,0.30701481921405094,0.21719944291121446,0.39738145983127365,0,0.43723011613566587,0.35597556184389395,ndvi,bio
1000,0.28105169141360264,0,0.32487628280629455,0.23602272502051191,0.4359758533501143,0,0.47423265031925416,0.3960757038938071,ndvi,bio
1100,0.29776052063756575,0,0.3410904720565874,0.25316796308531264,0.4688792587416291,0,0.5056725534550585,0.4303834373452487,ndvi,bio
1200,0.3155973127619222,0,0.3583708272575,0.2715015895558228,0.49821676817159194,0,0.5336229943549924,0.46106716480043525,ndvi,bio
1300,0.33157678527104417,0,0.37382695334837523,0.28795338385355734,0.5250245192656035,0,0.5590958334630458,0.4891829430549008,ndvi,bio
1400,0.34564734285446225,0,0.38741728311066914,0.30246118997286736,0.5478092280139177,0,0.5806955117149962,0.5131380885468659,ndvi,bio
1500,0.35681816345091555,0,0.3981939314306507,0.3139934153962515,0.5674910427419412,0,0.5993164817091325,0.533874519459202,ndvi,bio
1600,0.36633646372246326,0,0.4073673669097791,0.323829638152386,0.5848485928758722,0,0.6157099338552896,0.5521957601631318,ndvi,bio
100,0.32660497793057436,0,0.3690204919106011,0.28283185872786926,0.4223233972230633,0,0.4611587325536103,0.3818731832580854,ndvi,sm
200,0.3726295166633362,0,0.41342786818596294,0.3303379363228749,0.4791863613720441,0,0.515501148440839,0.44115337668604776,ndvi,sm
300,0.41956279751985903,0,0.4585130652961018,0.3790036777711509,0.5008912882802823,0,0.5361672228389935,0.4638688368424122,ndvi,sm
400,0.45813500513092026,0,0.49541692522085506,0.419168372582074,0.5275108856141716,0,0.5614551343304992,0.4917944066709725,ndvi,sm
500,0.4858814616775819,0,0.5218803133019991,0.4481549920963665,0.5460522931958933,0,0.5790316006583388,0.5112889770896111,ndvi,sm
600,0.5050207897205824,0,0.54009429353245475,0.468196117820032,0.557607984965155,0,0.5899704212342853,0.5234568382881124,ndvi,sm
700,0.5266076393818334,0,0.5605981122168944,0.4908456408292506,0.5683161266412092,0,0.6000963423620314,0.5347446980295056,ndvi,sm
800,0.5438605633442987,0,0.5769555303120464,0.5089827104280122,0.581522469372065,0,0.6125706224910352,0.5486825260603575,ndvi,sm
900,0.5606357877054808,0,0.5928346296241005,0.5266473453129671,0.5955048217690989,0,0.6257610613265059,0.5634592683159586,ndvi,sm
1000,0.5807320540977184,0,0.6118244569139427,0.5478478166158955,0.6107549890562265,0,0.6401278081477111,0.5795992660287768,ndvi,sm
1100,0.5955511602235198,0,0.6258047465760684,0.5635082735442657,0.625687309909331,0,0.6541752437095515,0.5954265915481626,ndvi,sm
1200,0.6086443737587919,0,0.6381406818668874,0.5773640403205764,0.6412063293420117,0,0.6687538125957038,0.6119007092109008,ndvi,sm
1300,0.6203607401312916,0,0.6491665789754596,0.5897780647648758,0.6549457346947913,0,0.6816429569168282,0.6265069405701423,ndvi,sm
1400,0.6317365181736389,0,0.6598603893313216,0.6018450656738505,0.6668512042281178,0,0.6927982751668045,0.6391797060820898,ndvi,sm
